Link,Type,Name,Instructure,Level,Duration,Date created,Rating
https://www.pluralsight.com/courses/entity-framework-applications-integration-testing,courses,Integration Testing of Entity Framework 6 Applications,by Michael Perry,Intermediate,2h 22m,17-Jun-22,53.0
https://www.pluralsight.com/courses/core-python-robust-resource-error-handling,courses,Core Python 3: Robust Resource and Error Handling,by Austin Bingham,Intermediate,1h 14m,15-Jul-22,53.0
https://www.pluralsight.com/courses/build-your-first-data-visualization-chartblocks,courses,Build Your First Data Visualization with ChartBlocks,by Pinal Dave,Beginner,35m,01-Dec-20,15.0
https://www.pluralsight.com/courses/effective-reporting-power-bi,courses,Effective Reporting with Power BI,by Tim Boles,Intermediate,2h 20m,12-Feb-19,150.0
https://www.pluralsight.com/courses/ssis-design-patterns-data-warehousing,courses,SSIS Design Patterns for Data Warehousing,by Robert Cain,Intermediate,2h 50m,08-Sep-16,252.0
https://www.pluralsight.com/courses/monitoring-key-systems-prometheus-exporters,courses,Monitoring Key Systems with Prometheus Exporters,by Craig Golightly,Intermediate,45m,13-Aug-20,25.0
https://www.pluralsight.com/courses/serverless-analytics-aws,courses,Serverless Analytics on AWS,by Kim Schmidt,Intermediate,2h 40m,20-Aug-19,57.0
https://www.pluralsight.com/courses/postgresql-data-manipulation-playbook,courses,PostgreSQL Data Manipulation Playbook,by Ami Levin,Intermediate,2h 34m,22-May-20,75.0
https://www.pluralsight.com/courses/react-express-full-stack-app-building,courses,Building a Full Stack App with React 16 and Express 4,by Daniel Stern,Advanced,3h 14m,08-Jun-22,154.0
https://www.pluralsight.com/courses/combining-shaping-data,courses,Combining and Shaping Data,by Janani Ravi,Beginner,3h 28m,11-Aug-20,54.0
https://www.pluralsight.com/courses/python-it-pros-sysadmins-introduction,courses,Introduction to Python for IT Pros and Sysadmins,by Ed Freitas,Beginner,1h 21m,13-Oct-23,15.0
https://www.pluralsight.com/courses/django-models,courses,Working with Django Models,by Reindert-Jan Ekker,Intermediate,2h 34m,05-Mar-21,56.0
https://www.pluralsight.com/courses/nodejs-microservices-fundamentals,courses,Node.js Microservices Fundamentals,by James Millar,Beginner,1h 52m,20-Dec-23,15.0
https://www.pluralsight.com/courses/java-se-17-building-application,courses,Building an Application Using Java SE,by Sander Mak,Intermediate,3h 6m,28-Jun-24,56.0
https://www.pluralsight.com/courses/docker-building-running-first-app,courses,Building and Running Your First Docker App,by Dan Wahlin,Beginner,2h 9m,22-Mar-21,351.0
https://www.pluralsight.com/courses/implementing-event-log-kafka,courses,Implementing an Event Log with Kafka,by Ivan Mushketyk,Advanced,3h 35m,04-Sep-20,58.0
https://www.pluralsight.com/courses/working-date-time-php,courses,Working with Date and Time in PHP,by Annapurna Siddhartha,Beginner,2h 16m,25-Jun-21,15.0
https://www.pluralsight.com/courses/amazon-redshift-best-practices,courses,Amazon Redshift: Best Practices,by Anthony Sequeira,Advanced,3h 9m,23-Dec-20,19.0
